date,thrifting,vinted,vintage
2019-01-01,0,0,82
2019-02-01,0,0,77
2019-03-01,0,0,78
2019-04-01,0,0,76
2019-05-01,0,0,78
2019-06-01,0,0,78
2019-07-01,0,0,80
2019-08-01,0,0,78
2019-09-01,0,0,67
2019-10-01,0,0,67
2019-11-01,0,0,71
2019-12-01,0,0,71
2020-01-01,0,0,72
2020-02-01,0,0,76
2020-03-01,0,0,88
2020-04-01,0,0,67
2020-05-01,0,0,74
2020-06-01,0,0,77
2020-07-01,0,0,80
2020-08-01,0,0,73
2020-09-01,0,0,61
2020-10-01,0,0,63
2020-11-01,0,0,66
2020-12-01,0,0,69
2021-01-01,0,0,71
2021-02-01,0,0,69
2021-03-01,0,0,65
2021-04-01,0,0,68
2021-05-01,0,0,64
2021-06-01,0,0,66
2021-07-01,0,0,70
2021-08-01,0,0,68
2021-09-01,0,0,61
2021-10-01,0,0,62
2021-11-01,0,0,65
2021-12-01,0,0,66
2022-01-01,0,0,66
2022-02-01,0,0,58
2022-03-01,0,0,58
2022-04-01,0,0,60
2022-05-01,0,0,60
2022-06-01,0,0,61
2022-07-01,0,0,62
2022-08-01,0,0,63
2022-09-01,0,0,56
2022-10-01,0,0,57
2022-11-01,0,0,58
2022-12-01,0,1,60
2023-01-01,0,1,64
2023-02-01,0,1,58
2023-03-01,0,1,55
2023-04-01,0,1,58
2023-05-01,0,0,53
2023-06-01,0,1,54
2023-07-01,0,1,59
2023-08-01,0,1,54
2023-09-01,0,1,49
2023-10-01,0,0,50
2023-11-01,0,1,57
2023-12-01,0,1,60
2024-01-01,0,1,56
2024-02-01,0,1,52
2024-03-01,0,0,53
2024-04-01,0,1,53
2024-05-01,0,0,51
2024-06-01,0,1,52
2024-07-01,0,1,56
2024-08-01,0,1,56
2024-09-01,0,0,54
2024-10-01,0,1,53
2024-11-01,0,1,57
2024-12-01,0,1,63
2025-01-01,0,1,59
2025-02-01,0,1,54
2025-03-01,0,1,55
2025-04-01,0,1,57
2025-05-01,0,1,58
2025-06-01,0,2,56
2025-07-01,0,1,60
2025-08-01,0,1,58
2025-09-01,0,1,52
2025-10-01,0,1,53
2025-11-01,0,2,66
2025-12-01,0,2,72
2026-01-01,0,2,66
2026-02-01,0,2,100
2026-03-01,0,2,61
