date,quiet luxury,normcore,capsule wardrobe
2019-01-01,0,10,0
2019-02-01,0,0,0
2019-03-01,0,0,0
2019-04-01,0,0,0
2019-05-01,0,0,0
2019-06-01,0,0,8
2019-07-01,0,0,0
2019-08-01,0,0,0
2019-09-01,0,0,0
2019-10-01,0,0,0
2019-11-01,0,0,0
2019-12-01,0,0,0
2020-01-01,0,0,10
2020-02-01,0,0,0
2020-03-01,0,0,0
2020-04-01,0,0,0
2020-05-01,0,0,0
2020-06-01,0,8,0
2020-07-01,0,0,0
2020-08-01,0,8,0
2020-09-01,0,0,0
2020-10-01,0,0,0
2020-11-01,0,0,0
2020-12-01,0,0,10
2021-01-01,0,0,0
2021-02-01,0,0,0
2021-03-01,0,0,7
2021-04-01,0,0,0
2021-05-01,0,0,0
2021-06-01,0,0,7
2021-07-01,0,0,0
2021-08-01,0,0,0
2021-09-01,0,0,0
2021-10-01,0,0,0
2021-11-01,0,0,0
2021-12-01,0,0,0
2022-01-01,0,29,0
2022-02-01,0,15,6
2022-03-01,0,65,0
2022-04-01,0,10,0
2022-05-01,0,24,5
2022-06-01,0,7,0
2022-07-01,0,11,0
2022-08-01,0,24,6
2022-09-01,0,11,8
2022-10-01,0,19,0
2022-11-01,0,16,6
2022-12-01,0,8,0
2023-01-01,0,9,0
2023-02-01,0,11,7
2023-03-01,0,11,6
2023-04-01,11,9,19
2023-05-01,0,7,9
2023-06-01,17,9,7
2023-07-01,7,9,6
2023-08-01,8,0,7
2023-09-01,0,10,0
2023-10-01,0,0,0
2023-11-01,0,9,0
2023-12-01,6,13,8
2024-01-01,0,16,10
2024-02-01,0,0,0
2024-03-01,8,0,0
2024-04-01,0,0,0
2024-05-01,8,0,10
2024-06-01,0,0,7
2024-07-01,0,0,9
2024-08-01,0,0,0
2024-09-01,0,0,0
2024-10-01,0,9,0
2024-11-01,0,0,0
2024-12-01,0,0,9
2025-01-01,8,0,0
2025-02-01,0,0,9
2025-03-01,0,0,0
2025-04-01,0,0,0
2025-05-01,7,0,0
2025-06-01,12,0,0
2025-07-01,0,0,8
2025-08-01,0,8,0
2025-09-01,0,0,10
2025-10-01,0,0,0
2025-11-01,13,0,21
2025-12-01,21,15,27
2026-01-01,16,0,45
2026-02-01,18,10,100
2026-03-01,21,0,25
