date,rappi,uber eats,comida rapida
2019-01-01,27,39,9
2019-02-01,41,47,10
2019-03-01,39,56,10
2019-04-01,46,60,10
2019-05-01,58,63,10
2019-06-01,61,70,11
2019-07-01,67,76,11
2019-08-01,66,68,10
2019-09-01,58,59,10
2019-10-01,52,54,10
2019-11-01,48,68,10
2019-12-01,44,72,8
2020-01-01,39,62,9
2020-02-01,44,63,10
2020-03-01,50,81,10
2020-04-01,70,85,10
2020-05-01,63,84,12
2020-06-01,66,100,13
2020-07-01,65,94,14
2020-08-01,59,82,11
2020-09-01,46,57,8
2020-10-01,46,61,9
2020-11-01,52,66,8
2020-12-01,54,67,7
2021-01-01,62,65,9
2021-02-01,68,63,8
2021-03-01,78,58,9
2021-04-01,87,63,9
2021-05-01,81,64,9
2021-06-01,82,60,9
2021-07-01,82,59,9
2021-08-01,76,55,8
2021-09-01,63,43,8
2021-10-01,62,46,7
2021-11-01,60,46,8
2021-12-01,63,53,7
2022-01-01,82,58,8
2022-02-01,78,53,8
2022-03-01,78,49,10
2022-04-01,82,50,11
2022-05-01,76,44,11
2022-06-01,73,39,9
2022-07-01,77,44,9
2022-08-01,72,35,8
2022-09-01,66,33,8
2022-10-01,61,33,8
2022-11-01,60,30,8
2022-12-01,59,32,6
2023-01-01,57,31,7
2023-02-01,64,33,8
2023-03-01,58,30,9
2023-04-01,60,29,8
2023-05-01,61,28,8
2023-06-01,56,26,9
2023-07-01,58,28,8
2023-08-01,55,27,7
2023-09-01,47,25,7
2023-10-01,43,26,8
2023-11-01,43,26,7
2023-12-01,44,27,6
2024-01-01,43,24,6
2024-02-01,42,26,7
2024-03-01,45,25,7
2024-04-01,47,25,7
2024-05-01,48,27,7
2024-06-01,44,25,7
2024-07-01,49,28,6
2024-08-01,47,24,6
2024-09-01,42,23,5
2024-10-01,40,25,6
2024-11-01,36,25,5
2024-12-01,35,29,5
2025-01-01,31,23,5
2025-02-01,33,26,5
2025-03-01,34,25,6
2025-04-01,38,26,5
2025-05-01,36,25,5
2025-06-01,38,26,5
2025-07-01,41,26,5
2025-08-01,46,27,5
2025-09-01,41,25,5
2025-10-01,39,23,5
2025-11-01,44,31,5
2025-12-01,41,27,4
2026-01-01,37,24,5
2026-02-01,37,27,5
2026-03-01,40,26,5
