date,netflix,tiktok,instagram
2019-01-01,70,0,60
2019-02-01,53,0,57
2019-03-01,51,0,60
2019-04-01,55,0,63
2019-05-01,50,0,64
2019-06-01,54,0,69
2019-07-01,65,0,78
2019-08-01,52,0,73
2019-09-01,51,9,65
2019-10-01,47,0,61
2019-11-01,50,1,63
2019-12-01,58,1,66
2020-01-01,61,2,65
2020-02-01,54,2,59
2020-03-01,76,5,64
2020-04-01,100,9,72
2020-05-01,79,9,67
2020-06-01,79,9,72
2020-07-01,73,11,75
2020-08-01,67,10,71
2020-09-01,60,9,60
2020-10-01,57,9,59
2020-11-01,60,9,58
2020-12-01,62,10,64
2021-01-01,73,13,62
2021-02-01,62,14,57
2021-03-01,57,15,58
2021-04-01,62,16,64
2021-05-01,56,19,60
2021-06-01,60,20,59
2021-07-01,64,22,64
2021-08-01,63,20,63
2021-09-01,60,21,56
2021-10-01,56,21,59
2021-11-01,54,19,57
2021-12-01,57,21,62
2022-01-01,76,23,60
2022-02-01,59,22,61
2022-03-01,50,25,55
2022-04-01,59,28,67
2022-05-01,53,26,61
2022-06-01,54,28,64
2022-07-01,66,31,66
2022-08-01,58,30,61
2022-09-01,52,25,55
2022-10-01,54,26,56
2022-11-01,54,24,54
2022-12-01,59,27,60
2023-01-01,58,27,61
2023-02-01,52,26,59
2023-03-01,49,26,58
2023-04-01,52,29,67
2023-05-01,48,28,62
2023-06-01,53,28,61
2023-07-01,57,34,66
2023-08-01,49,31,63
2023-09-01,44,28,55
2023-10-01,46,27,53
2023-11-01,44,27,53
2023-12-01,54,29,59
2024-01-01,56,26,52
2024-02-01,48,22,47
2024-03-01,50,23,53
2024-04-01,44,23,51
2024-05-01,43,22,52
2024-06-01,43,20,52
2024-07-01,46,25,53
2024-08-01,42,22,51
2024-09-01,41,22,47
2024-10-01,43,24,48
2024-11-01,42,22,49
2024-12-01,50,24,52
2025-01-01,50,28,48
2025-02-01,43,24,49
2025-03-01,45,26,50
2025-04-01,42,28,54
2025-05-01,39,30,51
2025-06-01,43,29,51
2025-07-01,43,29,52
2025-08-01,39,30,49
2025-09-01,42,28,46
2025-10-01,37,29,49
2025-11-01,39,30,54
2025-12-01,47,34,52
2026-01-01,43,31,48
2026-02-01,36,31,51
2026-03-01,38,33,50
