date,shein,zara,outfit,moda sostenible,fast fashion,minimalismo
2019-01-01,15,26,29,0,11,78
2019-02-01,16,19,29,0,12,95
2019-03-01,21,20,33,0,13,75
2019-04-01,21,21,34,0,13,58
2019-05-01,20,22,35,0,20,59
2019-06-01,23,27,36,0,18,56
2019-07-01,25,27,38,0,16,36
2019-08-01,24,21,37,0,15,43
2019-09-01,24,20,37,0,20,58
2019-10-01,26,21,36,0,19,54
2019-11-01,42,30,42,3,22,64
2019-12-01,36,36,60,0,27,44
2020-01-01,29,26,37,0,20,73
2020-02-01,29,19,36,4,29,79
2020-03-01,28,15,28,0,19,70
2020-04-01,29,15,16,3,16,88
2020-05-01,56,22,17,4,27,100
2020-06-01,75,30,21,5,34,72
2020-07-01,82,33,27,4,62,56
2020-08-01,70,22,28,3,46,58
2020-09-01,56,19,25,3,57,52
2020-10-01,56,18,27,4,48,51
2020-11-01,71,28,31,4,48,61
2020-12-01,57,35,45,0,33,52
2021-01-01,62,26,27,8,31,81
2021-02-01,57,22,26,5,41,82
2021-03-01,57,26,29,7,53,79
2021-04-01,53,18,30,5,51,62
2021-05-01,63,19,31,5,54,64
2021-06-01,69,23,35,6,41,73
2021-07-01,78,26,39,0,39,40
2021-08-01,76,20,33,0,40,39
2021-09-01,70,18,33,5,52,43
2021-10-01,70,20,35,4,70,48
2021-11-01,81,29,39,5,86,50
2021-12-01,66,35,60,4,35,41
2022-01-01,74,26,32,4,41,69
2022-02-01,64,19,31,8,55,99
2022-03-01,68,19,35,7,61,100
2022-04-01,73,20,38,7,76,77
2022-05-01,76,22,38,8,77,74
2022-06-01,80,26,40,7,78,64
2022-07-01,85,27,45,0,43,38
2022-08-01,81,20,40,4,50,39
2022-09-01,70,20,41,7,73,44
2022-10-01,73,22,40,4,74,46
2022-11-01,88,28,43,5,85,49
2022-12-01,77,34,61,0,44,34
2023-01-01,80,27,36,5,35,62
2023-02-01,74,21,37,5,61,85
2023-03-01,78,21,35,7,58,80
2023-04-01,89,21,38,5,48,55
2023-05-01,91,22,36,5,62,61
2023-06-01,100,28,37,3,54,57
2023-07-01,93,29,45,3,25,28
2023-08-01,85,21,38,0,38,32
2023-09-01,68,20,38,6,60,44
2023-10-01,71,22,36,5,59,35
2023-11-01,85,33,41,6,65,44
2023-12-01,65,40,58,3,31,30
2024-01-01,68,27,31,5,37,40
2024-02-01,57,21,27,6,58,42
2024-03-01,62,22,27,4,46,40
2024-04-01,59,22,26,6,57,45
2024-05-01,64,25,27,5,54,47
2024-06-01,65,28,28,4,42,28
2024-07-01,68,28,32,3,18,26
2024-08-01,65,23,33,0,30,34
2024-09-01,58,22,30,6,43,36
2024-10-01,60,23,30,8,44,38
2024-11-01,68,32,32,9,45,35
2024-12-01,48,38,45,5,32,32
2025-01-01,51,28,25,4,33,38
2025-02-01,46,22,24,6,45,45
2025-03-01,56,21,25,8,47,43
2025-04-01,59,21,25,5,35,35
2025-05-01,53,23,26,8,43,37
2025-06-01,55,25,27,6,40,38
2025-07-01,49,25,28,4,18,26
2025-08-01,47,21,26,3,23,23
2025-09-01,35,19,25,6,36,27
2025-10-01,40,21,26,6,36,28
2025-11-01,50,32,32,0,55,31
2025-12-01,40,35,44,0,43,23
2026-01-01,39,26,26,0,32,25
2026-02-01,34,22,26,4,51,42
2026-03-01,38,21,25,0,39,36
