date,ansiedad,depresion,terapia,black friday,buen fin,amazon
2019-01-01,36,24,35,0,1,49
2019-02-01,42,35,41,0,0,43
2019-03-01,43,37,44,0,0,41
2019-04-01,43,32,38,0,0,48
2019-05-01,45,34,39,0,0,55
2019-06-01,41,31,39,0,0,54
2019-07-01,42,26,39,0,1,68
2019-08-01,45,28,40,0,1,58
2019-09-01,50,34,41,1,2,54
2019-10-01,48,38,40,1,7,55
2019-11-01,52,39,40,15,61,85
2019-12-01,47,32,31,1,2,90
2020-01-01,57,35,36,0,1,63
2020-02-01,58,36,43,0,0,61
2020-03-01,61,35,39,0,0,60
2020-04-01,71,33,32,0,0,86
2020-05-01,69,35,36,0,0,98
2020-06-01,74,31,36,0,0,93
2020-07-01,69,26,38,0,1,92
2020-08-01,68,27,35,0,1,82
2020-09-01,61,37,35,0,3,66
2020-10-01,62,37,37,1,11,71
2020-11-01,63,34,34,9,59,94
2020-12-01,71,27,30,0,2,100
2021-01-01,68,30,36,0,1,87
2021-02-01,73,30,38,0,0,72
2021-03-01,73,31,41,0,0,66
2021-04-01,73,32,42,0,0,66
2021-05-01,68,29,39,0,0,69
2021-06-01,67,28,40,0,0,69
2021-07-01,72,26,38,0,1,68
2021-08-01,79,28,41,0,1,67
2021-09-01,74,29,39,0,2,64
2021-10-01,72,30,37,1,9,59
2021-11-01,69,30,38,10,49,78
2021-12-01,66,23,31,0,1,80
2022-01-01,79,32,38,0,1,80
2022-02-01,85,37,46,0,0,66
2022-03-01,93,40,49,0,0,65
2022-04-01,87,35,44,0,0,67
2022-05-01,90,38,45,0,0,73
2022-06-01,91,35,46,0,0,67
2022-07-01,93,30,43,0,1,81
2022-08-01,97,31,45,0,1,75
2022-09-01,91,34,43,0,2,65
2022-10-01,88,35,45,1,9,65
2022-11-01,87,34,42,8,50,84
2022-12-01,72,26,33,0,1,93
2023-01-01,83,33,44,0,1,85
2023-02-01,83,31,46,0,0,72
2023-03-01,91,34,47,0,0,66
2023-04-01,100,33,44,0,0,73
2023-05-01,90,35,49,0,0,74
2023-06-01,85,30,46,0,1,76
2023-07-01,76,25,43,0,1,86
2023-08-01,76,26,44,0,1,76
2023-09-01,80,31,48,1,2,69
2023-10-01,76,29,44,1,7,71
2023-11-01,84,27,48,10,47,89
2023-12-01,66,21,37,1,1,95
2024-01-01,68,26,43,0,1,77
2024-02-01,65,25,48,0,0,65
2024-03-01,67,24,46,0,0,66
2024-04-01,70,25,49,0,0,67
2024-05-01,68,24,47,0,1,76
2024-06-01,90,21,46,0,0,66
2024-07-01,83,18,44,0,1,79
2024-08-01,74,20,48,1,1,70
2024-09-01,73,21,46,1,2,60
2024-10-01,71,23,46,2,9,61
2024-11-01,65,21,46,13,44,75
2024-12-01,56,16,39,1,1,78
2025-01-01,61,22,43,0,1,63
2025-02-01,65,20,49,0,0,55
2025-03-01,66,21,48,0,0,56
2025-04-01,61,18,47,0,0,58
2025-05-01,68,18,48,0,1,61
2025-06-01,61,17,47,1,1,58
2025-07-01,59,15,46,0,1,66
2025-08-01,64,13,47,0,1,55
2025-09-01,64,15,45,1,2,52
2025-10-01,65,17,45,1,9,56
2025-11-01,64,16,45,15,50,77
2025-12-01,56,12,37,1,1,71
2026-01-01,59,16,41,0,1,58
2026-02-01,62,16,47,0,0,53
2026-03-01,64,15,46,0,0,52
