date,pilates,journaling,wellness
2019-01-01,22,0,12
2019-02-01,19,0,12
2019-03-01,19,0,13
2019-04-01,17,0,13
2019-05-01,17,0,14
2019-06-01,19,0,16
2019-07-01,20,0,17
2019-08-01,20,0,15
2019-09-01,17,0,14
2019-10-01,15,0,14
2019-11-01,16,0,16
2019-12-01,12,1,15
2020-01-01,22,1,15
2020-02-01,19,0,15
2020-03-01,17,0,12
2020-04-01,18,0,9
2020-05-01,15,1,9
2020-06-01,14,1,11
2020-07-01,14,1,13
2020-08-01,13,1,13
2020-09-01,12,1,12
2020-10-01,11,0,11
2020-11-01,11,1,10
2020-12-01,11,1,10
2021-01-01,14,1,12
2021-02-01,14,1,11
2021-03-01,14,1,12
2021-04-01,14,1,13
2021-05-01,13,1,13
2021-06-01,15,1,13
2021-07-01,15,1,14
2021-08-01,15,1,13
2021-09-01,14,1,13
2021-10-01,14,1,13
2021-11-01,13,1,13
2021-12-01,11,1,12
2022-01-01,18,2,15
2022-02-01,16,1,14
2022-03-01,17,1,16
2022-04-01,16,1,15
2022-05-01,17,1,15
2022-06-01,30,2,15
2022-07-01,22,1,15
2022-08-01,25,2,16
2022-09-01,20,2,15
2022-10-01,22,1,13
2022-11-01,24,2,14
2022-12-01,21,2,13
2023-01-01,40,3,17
2023-02-01,33,2,16
2023-03-01,31,2,15
2023-04-01,32,2,17
2023-05-01,30,2,17
2023-06-01,35,2,19
2023-07-01,43,2,20
2023-08-01,41,2,18
2023-09-01,34,2,17
2023-10-01,30,2,17
2023-11-01,29,2,17
2023-12-01,34,3,18
2024-01-01,54,3,23
2024-02-01,51,2,21
2024-03-01,51,2,20
2024-04-01,50,2,20
2024-05-01,53,2,21
2024-06-01,45,2,19
2024-07-01,62,2,21
2024-08-01,67,2,22
2024-09-01,56,2,20
2024-10-01,50,2,21
2024-11-01,53,2,22
2024-12-01,53,2,21
2025-01-01,100,3,26
2025-02-01,78,2,25
2025-03-01,77,2,25
2025-04-01,96,3,25
2025-05-01,100,3,27
2025-06-01,98,3,33
2025-07-01,96,3,27
2025-08-01,78,3,25
2025-09-01,65,3,22
2025-10-01,60,2,24
2025-11-01,60,3,36
2025-12-01,67,5,34
2026-01-01,94,6,39
2026-02-01,82,9,47
2026-03-01,83,5,38
